place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNIOU8ybmdRRRAB,1,"This place has a major problem with organized thieve(s) going around stealing phones. I was here on December 2023 and myself and around 8 people all had their phones suddenly lifted. I noticed more and more people having a look of pandemonium on their faces and realized that multiple people were being targeted. The club doesnt do anything about this. Suddenly this weekend when my best friend reports she is going back to this club around 8 months since this instance, her phone is also stolen. How much of a fing coincidence is that? And same story, multiple people (5+) all getting their phone lifted at the same and running around mad looking for it. Just think of how many had their phone stolen in between those two visits. Its not normal and of course when we told their security they shrugged, which was very gracious of them given how awful they are. Makes you wonder.",2 days ago,2024-09-02 12:30:25.459350,,,,0,14,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUQ3enFiUTJBRRAB,5,"Whiskey Sour was standard music club fare, but cheap enough that its fine. No line at the bar. Music is amazing as always, three stages. (Saw Amtrac). Plenty of dancing room! Kid-friendliness: Not kid friendly lol its 21+ usually.",a week ago,2024-08-28 12:30:25.480797,,,,0,29,30,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUM3dGQyVTJnRRAB,2,They pack the venue WAYY too much to the point that there s no space to move or dance.  Went there to see Walker and Royce and it was impossible to move around,2 weeks ago,2024-08-21 12:30:25.491062,,,,0,139,,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUM3NmNmZElBEAE,3,,2 weeks ago,2024-08-21 12:30:25.499249,,,,0,7,2,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUM3ektDTG9nRRAB,4,This place is past its prime The type of events they have there dont really appeal it needs new management or our new booker,3 weeks ago,2024-08-14 12:30:25.506033,,,,0,219,833,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSURiOGRId1RnEAE,5,,4 weeks ago,2024-08-07 12:30:25.516047,,,,0,17,2,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSURiLUlDTDV3RRAB,3,,a month ago,2024-08-04 12:30:25.528636,,,,0,83,111,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSURydUlpSVFREAE,5,I just satisface My self when Im there Service,a month ago,2024-08-04 12:30:25.538875,,,,0,69,196,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUNycDhYZ0tBEAE,5,3 floors full of good vibes. Great experience,a month ago,2024-08-04 12:30:25.545772,,,,0,23,3,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUNybmFLQ0hREAE,5,"Roving DJs.  Has a great hip hop hop and contemporary DJ on 3rd lower ever. Really fun. Im gay, but no hook ups just music, very straight",a month ago,2024-08-04 12:30:25.553978,,,,0,35,4,True,,
